번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
30,객관식퀴즈,다른 조건에는 변화가 없고 한 상품의 가격만 계속 변화할 때 소비자의 선택점이 어떻게 변화하는지를 보여주는 곡선은 무엇인가?,엥겔곡선,무차별곡선,소득소비곡선,가격소비곡선,4번,가격소비곡선은 가격의 변화에 따라 소비자 균형의 이동을 나타낸 곡선을 한다. 가격소비곡선에 담겨져 있는 수요에 관한 정보를 추출해냄으로써 어떤 상품에 대한 수요곡선을 도출할 수 있다. 엥겔 곡선은 소득 변화에 따른 선택점을 재화-소득간 평면에 나타낸 곡선이다. 무차별곡선은 소비자에게 똑같은 효용을 주는 상품묶음의 집합을 나타낸 곡선이다. 소득소비곡선은 소득의 변화에 따라 소비자들의 선택점을 재화간 평면에 나타낸 곡선이다.
31,객관식퀴즈,수요의 반응에 비해 공급의 반응이 지체되어 일어나는 현상을 말하는 이론은 무엇인가?,게임 이론,거미집 이론,네트워크 이론,랜덤워크 이론,2번,가격 변동에 대해 수요량은 대체로 즉각적으로 반응한다. 하지만 공급량은 반응에 일정한 시간이 필요하며 실제 균형 가격은 이러한 시간차로 인해 다소간의 시행 착오를 거친 뒤 이루어진다. 이런 현상을 수요 공급 곡선 상에 나타내면 가격이 마치 거미집과 같은 모향으로 균형 가격에 수렴되므로 거미집 이론이라고 부른다.
32,OX퀴즈,"맬서스경제(Malthusian economy)에서 사람들이 생존에 필요한 최소한의 식량만을 소비하고 있으며, 더 이상 인구의 변화도 없고 생산량의 변화도 없는 경제의 상태를 균제상태(steady state)라고 부른다.",,,,,2번(X),맬서스경제에서 장기 균형상태인 더 이상 생산량의 변화(경제성장)가 일어나지 않는 상태를 정체상태(stationary state)라고 부른다. 균제상태는 솔로우경제(Solow economy)에서 노동과 자본의 투입량을 함께 늘려도 경제성장이 한계에 달해 1인당 국민소득이 일정한 수준에 머물러 있는 상태를 말한다.
33,OX퀴즈,게임 참여자들이 상대방의 전략을 주어진 것으로 전제하고 이에 대하여 최선의 전략을 선택하여 형성된 균형 상태를 파레토균형이라고 한다.,,,,,2번(X),각 기업이 상대방의 전략을 주어진 것으로 전제하고 그에 대해 최선의 전략을 선택하여 형성된 균형 상태를 내쉬균형이라고 한다. [뷰티플 마인드(Beautiful Mind)]라는 책과 영화를 통해 소개된 노벨상을 수상한 수학자이자 경제이론가인 존 내쉬(John Nash)의 이름을 따서 붙인 균형 개념이다.
34,OX퀴즈,"코즈의 정리에 따르면, 민간 경제주체들이 거래비용을 협상할 수 있을 경우 외부효과로 인해 초래되는 비효율성을 그들 스스로 해결할 수 있다.",,,,,1번(O),"거래비용이란 이해당사자들이 협상을 통해 합의에 도달하는 과정에서 부담하는 비용이다. 예를 들어, 정보탐색 비용, 협상 비용, 협상 유지 비용 등이다. 코즈의 정리에 따르면 민간 경제주체들이 아무런 비용을 치르지 않고 자원 배분에 관한 협상을 할 수 있다면, 시장 기능이 외부효과로 인해 초래되는 비효율성을 해소하고 자원을 효율적으로 배분할 수 있다."
35,OX퀴즈,어떤 상품 한 개당 일정한 금액의 판매세가 부과된다고 하자. 이때 수요와 공급이 탄력적일수록 자중손실(deadweight loss)이 커진다.,,,,,1번(O),정부가 판매세를 부과하면 세금 부과 전보다 총잉여가 감소하고 자중손실(경제적 순손실)이 발생한다. 이때 수요와 공급이 탄력적일수록 수요량과 공급량이 더 크게 감소하여 자중손실의 규모가 커진다. 다시 말해서 세금 부과로 인해 사라지는 총잉여의 크기가 증가한다.
36,OX퀴즈,"어떤 재화의 수요의 가격 탄력성이 1보다 크다면, 이 재화를 생산하는 기업이 가격을 인상하면 총수입이 증가한다. (단, 이 재화는 정상재이다.)",,,,,2번(X),"어떤 재화의 수요의 가격 탄력성이 1보다 크다면, 가격이 1% 상승할 때 수요량(판매량)은 1%보다 크게 감소한다. 총수입(total revenue)은 가격과 판매량을 곱한 값이므로 가격 인상은 총수입을 증가시키고, 판매량 감소는 총수입을 감소시킨다. 총수입 증가 효과보다 총수입 감소 효과가 크기 때문에 총수입은 감소한다."
37,OX퀴즈,엔젤투자는 벤처기업이 필요로 하는 자금을 전문투자자가 지원해 주고 그 대가로 주식을 받는 투자를 말한다.,,,,,2번(X),엔젤투자는 기술력은 있으나 창업을 위한 자금이 부족한 초기 단계의 벤처기업이 필요한 자금을 개인투자자 여럿이 돈을 모아 지원해 주고 그 대가로 주식을 받는 투자를 말한다. 투자한 기업이 성공적으로 성장하여 기업가치가 올라가면 수십 배 이상의 이득을 얻을 수 있지만 실패할 경우에는 투자액의 대부분이 손실로 확정된다.
38,객관식퀴즈,다음 중 헤징(Hedging)에 관한 설명으로 옳지 않은 것은 무엇인가?,파생상품을 이용하여 현물과 반대되는 포지션을 설정하는 것이다.,어느 한 쪽의 손실이 다른 쪽의 이익으로 서로 상쇄된다.,헤징은 옵션을 이용해서는 불가능하다.,매입헤지(Long Hedge)와 매도헤지(Short Hedge)로 구분된다.,3번,헤징은 옵션을 이용해서도 가능하다. 현물가격의 하락위험을 방지하기 위해 풋옵션을 매입(Protective Put)하거나 콜옵션을 매도(Covered Call)해 위험을 헤지할 수 있다. 이외에도 스왑이나 구조화상품등 다양한 파생상품을 이용하여 현물가격의 변동위험을 줄일수 있는데 이런 모든 방법을 헤징이라 한다.
39,객관식퀴즈,금융시장에서 쓰이는 용어로 주가가 상승하면서 원화강세와 채권가격도 상승(금리하락)하는 현상을 일컫는 말은 무엇인가?,트리플 강세,인플레이션,디플레이션,트리플 약세,1번,트리플 강세에 대한 설명이다. 트리플 강세가 나타나는 이유는 우리나라의 경우 특히 주가와 환율이 밀접한 관계를 보이기 때문이다. 외국인투자자들이 한국주식을 많이 매수하면서 주가가 상승할 가능성이 많아진다.
